index,path1,path2,path3,path4,word1,word2,word3,word4,delay
0,audio\set_3\train_en-IN-Standard-A.wav,audio\set_3\train_en-IN-Standard-A.wav,audio\set_3\lane_en-IN-Standard-A.wav,audio\set_3\main_en-IN-Standard-A.wav,rain,train,lane,main,0
1,audio\set_9\box_en-IN-Standard-A.wav,audio\set_9\fox_en-IN-Standard-A.wav,audio\set_9\ox_en-IN-Standard-A.wav,audio\set_9\rocks_en-IN-Standard-A.wav,box,fox,ox,rocks,200
2,audio\set_5\bat_en-IN-Standard-A.wav,audio\set_5\rat_en-IN-Standard-A.wav,audio\set_5\sat_en-IN-Standard-A.wav,audio\set_5\vat_en-IN-Standard-A.wav,bat,rat,sat,vat,400
3,audio\set_8\bow_en-IN-Standard-A.wav,audio\set_8\grow_en-IN-Standard-A.wav,audio\set_8\vow_en-IN-Standard-A.wav,audio\set_8\cow_en-IN-Standard-A.wav,bow,grow,vow,cow,500
4,audio\set_5\bat_en-IN-Standard-A.wav,audio\set_6\tree_en-IN-Standard-A.wav,audio\set_9\ox_en-IN-Standard-A.wav,audio\set_7\float_en-IN-Standard-A.wav,bat,tree,ox,float,550
5,audio\set_3\main_en-IN-Standard-A.wav,audio\set_5\rat_en-IN-Standard-A.wav,audio\set_10\guy_en-IN-Standard-A.wav,audio\set_11\bawl_en-IN-Standard-A.wav,main,rat,guy,bawl,600
6,audio\set_8\vow_en-IN-Standard-A.wav,audio\set_1\right_en-IN-Standard-A.wav,audio\set_6\tree_en-IN-Standard-A.wav,audio\set_2\good_en-IN-Standard-A.wav,vow,right,tree,good,800
7,audio\set_11\crawl_en-IN-Standard-A.wav,audio\set_0\sleet_en-IN-Standard-A.wav,audio\set_2\wood_en-IN-Standard-A.wav,audio\set_5\bat_en-IN-Standard-A.wav,crawl,sleet,wood,bat,1000
0,audio\set_2\food_en-IN-Standard-C.wav,audio\set_2\mood_en-IN-Standard-C.wav,audio\set_2\wood_en-IN-Standard-C.wav,audio\set_2\brood_en-IN-Standard-C.wav,food,mood,wood,brood,0
1,audio\set_0\beat_en-IN-Standard-C.wav,audio\set_0\wheat_en-IN-Standard-C.wav,audio\set_0\need_en-IN-Standard-C.wav,audio\set_0\heat_en-IN-Standard-C.wav,beat,wheat,need,heat,200
2,audio\set_1\light_en-IN-Standard-C.wav,audio\set_1\might_en-IN-Standard-C.wav,audio\set_1\right_en-IN-Standard-C.wav,audio\set_1\fight_en-IN-Standard-C.wav,light,might,right,fight,400
3,audio\set_6\bee_en-IN-Standard-C.wav,audio\set_6\dee_en-IN-Standard-C.wav,audio\set_6\tree_en-IN-Standard-C.wav,audio\set_6\plea_en-IN-Standard-C.wav,bee,dee,tree,plea,500
4,audio\set_6\plea_en-IN-Standard-C.wav,audio\set_11\fall_en-IN-Standard-C.wav,audio\set_5\sat_en-IN-Standard-C.wav,audio\set_10\fly_en-IN-Standard-C.wav,plea,fall,sat,fly,550
5,audio\set_5\rat_en-IN-Standard-C.wav,audio\set_2\mood_en-IN-Standard-C.wav,audio\set_10\guy_en-IN-Standard-C.wav,audio\set_4\race_en-IN-Standard-C.wav,rat,mood,guy,ace,600
6,audio\set_11\pall_en-IN-Standard-C.wav,audio\set_6\dee_en-IN-Standard-C.wav,audio\set_6\plea_en-IN-Standard-C.wav,audio\set_8\vow_en-IN-Standard-C.wav,pall,dee,plea,vow,800
7,audio\set_9\ox_en-IN-Standard-C.wav,audio\set_9\fox_en-IN-Standard-C.wav,audio\set_7\goat_en-IN-Standard-C.wav,audio\set_6\plea_en-IN-Standard-C.wav,ox,fox,goat,plea,1000
0,audio\set_4\race_en-IN-Standard-X.wav,audio\set_4\face_en-IN-Standard-X.wav,audio\set_4\lace_en-IN-Standard-X.wav,audio\set_4\pace_en-IN-Standard-X.wav,ace,face,lace,pace,0
1,audio\set_11\fall_en-IN-Standard-X.wav,audio\set_11\wall_en-IN-Standard-X.wav,audio\set_11\bawl_en-IN-Standard-X.wav,audio\set_11\crawl_en-IN-Standard-X.wav,fall,wall,bawl,crawl,200
2,audio\set_7\goat_en-IN-Standard-X.wav,audio\set_7\throne_en-IN-Standard-X.wav,audio\set_7\moat_en-IN-Standard-X.wav,audio\set_7\float_en-IN-Standard-X.wav,goat,throne,moat,float,400
3,audio\set_10\guy_en-IN-Standard-X.wav,audio\set_10\fly_en-IN-Standard-X.wav,audio\set_10\nigh_en-IN-Standard-X.wav,audio\set_10\guy_en-IN-Standard-X.wav,guy,fly,nigh,guy,500
4,audio\set_4\race_en-IN-Standard-X.wav,audio\set_6\dee_en-IN-Standard-X.wav,audio\set_1\might_en-IN-Standard-X.wav,audio\set_5\vat_en-IN-Standard-X.wav,ace,dee,might,vat,550
5,audio\set_3\train_en-IN-Standard-X.wav,audio\set_5\sat_en-IN-Standard-X.wav,audio\set_11\wall_en-IN-Standard-X.wav,audio\set_2\brood_en-IN-Standard-X.wav,rain,sat,wall,brood,600
6,audio\set_3\train_en-IN-Standard-X.wav,audio\set_11\crawl_en-IN-Standard-X.wav,audio\set_0\wheat_en-IN-Standard-X.wav,audio\set_5\sat_en-IN-Standard-X.wav,rain,crawl,heat,sat,800
7,audio\set_2\mood_en-IN-Standard-X.wav,audio\set_8\bow_en-IN-Standard-X.wav,audio\set_0\wheat_en-IN-Standard-X.wav,audio\set_0\sleet_en-IN-Standard-X.wav,mood,bow,heat,sleet,1000
